NC_000913.3	336	2799	0|1|Bifunctional_aspartokinase/homoserine_dehydrogenase_1	thrA	0	+
NC_000913.3	2800	3733	0|2|Homoserine_kinase	thrB	0	+
NC_000913.3	3733	5020	0|3|Threonine_synthase	thrC	0	+
NC_000913.3	6528	7959	0|4|Amino-acid_carrier_protein_AlsT	alsT	0	-
NC_000913.3	8237	9191	0|5|Transaldolase_B	talB	0	+
NC_000913.3	9305	9893	0|6|Molybdopterin_adenylyltransferase	mog	0	+
NC_000913.3	9927	10494	0|7|Succinate-acetate/proton_symporter_SatP	satP	0	-
NC_000913.3	12162	14079	0|8|Chaperone_protein_DnaK	dnaK_1	0	+
NC_000913.3	14167	15298	0|9|Chaperone_protein_DnaJ	dnaJ	0	+
NC_000913.3	16750	16903	0|10|Toxin_HokB	hokB	0	-
NC_000913.3	17488	18655	0|11|Na(+)/H(+)_antiporter_NhaA	nhaA	0	+
NC_000913.3	18720	19620	0|12|Transcriptional_activator_protein_NhaR	nhaR	0	+
NC_000913.3	20814	21078	0|13|30S_ribosomal_protein_S20	rpsT	0	-
NC_000913.3	21406	22348	0|14|Riboflavin_biosynthesis_protein_RibF	ribF	0	+
NC_000913.3	22390	25207	0|15|Isoleucine--tRNA_ligase	ileS	0	+
NC_000913.3	25206	25701	0|16|Lipoprotein_signal_peptidase	lspA	0	+
NC_000913.3	25825	26275	0|17|FKBP-type_16_kDa_peptidyl-prolyl_cis-trans_isomerase	fkpB	0	+
NC_000913.3	26276	27227	0|18|4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase	ispH	0	+
NC_000913.3	27292	28207	0|19|Non-specific_ribonucleoside_hydrolase_RihC	rihC	0	+
NC_000913.3	28373	29195	0|20|4-hydroxy-tetrahydrodipicolinate_reductase	dapB	0	+
NC_000913.3	29650	30799	0|21|Carbamoyl-phosphate_synthase_small_chain	carA	0	+
NC_000913.3	30816	34038	0|22|Carbamoyl-phosphate_synthase_large_chain	carB	0	+
NC_000913.3	34780	35371	0|23|2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-acetyltransferase	dapH_1	0	-
NC_000913.3	35376	36162	0|24|Carnitinyl-CoA_dehydratase	caiD	0	-
NC_000913.3	36270	37824	0|25|putative_crotonobetaine/carnitine-CoA_ligase	caiC	0	-
NC_000913.3	37897	39115	0|26|L-carnitine_CoA-transferase	caiB	0	-
NC_000913.3	39243	40386	0|27|Crotonobetainyl-CoA_dehydrogenase	caiA_1	0	-
NC_000913.3	40416	41931	0|28|L-carnitine/gamma-butyrobetaine_antiporter	caiT_1	0	-
NC_000913.3	42402	43173	0|29|Electron_transfer_flavoprotein_subunit_beta	etfB_1	0	+
NC_000913.3	43187	44129	0|30|Electron_transfer_flavoprotein_subunit_alpha	etfA_1	0	+
NC_000913.3	45462	45750	0|31|Ferredoxin-like_protein_FixX	fixX_1	0	+
NC_000913.3	45806	47138	0|32|Inner_membrane_metabolite_transport_protein_YgcS	ygcS_1	0	+
NC_000913.3	47245	47776	0|33|Glutathione-regulated_potassium-efflux_system_ancillary_protein_KefF	kefF_1	0	+
NC_000913.3	47768	49631	0|34|Glutathione-regulated_potassium-efflux_system_protein_KefC	kefC_1	0	+
NC_000913.3	49711	50302	0|35|Dihydrofolate_reductase	folA	0	+
NC_000913.3	50379	51222	0|36|Bis(5'-nucleosyl)-tetraphosphatase_[symmetrical]	apaH	0	-
NC_000913.3	51228	51606	0|37|Protein_ApaG	apaG	0	-
NC_000913.3	51608	52430	0|38|Ribosomal_RNA_small_subunit_methyltransferase_A	rsmA	0	-
NC_000913.3	52426	53416	0|39|4-hydroxythreonine-4-phosphate_dehydrogenase	pdxA	0	-
NC_000913.3	53415	54702	0|40|Chaperone_SurA	surA	0	-
NC_000913.3	54754	57109	0|41|LPS-assembly_protein_LptD	lptD	0	-
NC_000913.3	57363	58179	0|42|Co-chaperone_protein_DjlA	djlA	0	+
NC_000913.3	59686	60346	0|43|Ribosomal_large_subunit_pseudouridine_synthase_A	rluA	0	-
NC_000913.3	60357	63264	0|44|RNA_polymerase-associated_protein_RapA	rapA	0	-
NC_000913.3	63428	65780	0|45|DNA_polymerase_II	polB	0	-
NC_000913.3	65854	66550	0|46|L-ribulose-5-phosphate_4-epimerase_AraD	araD	0	-
NC_000913.3	66834	68337	0|47|L-arabinose_isomerase	araA	0	-
NC_000913.3	68347	70048	0|48|Ribulokinase	araB	0	-
NC_000913.3	70386	71265	0|49|Arabinose_operon_regulatory_protein	araC	0	+
NC_000913.3	71350	72115	0|50|Inner_membrane_protein_YabI	yabI	0	+
NC_000913.3	72228	72927	0|51|Thiamine_import_ATP-binding_protein_ThiQ	thiQ	0	-
NC_000913.3	72910	74521	0|52|Sulfate_transport_system_permease_protein_CysW	cysW_1	0	-
NC_000913.3	74496	75480	0|53|Thiamine-binding_periplasmic_protein	thiB	0	-
NC_000913.3	75643	77299	0|54|HTH-type_transcriptional_regulator_SgrR	sgrR_1	0	-
NC_000913.3	77387	77519	0|55|Putative_inhibitor_of_glucose_uptake_transporter_SgrT	sgrT	0	+
NC_000913.3	77620	78799	0|56|Sugar_efflux_transporter_A	setA	0	+
NC_000913.3	78847	79453	0|57|3-isopropylmalate_dehydratase_small_subunit	leuD	0	-
NC_000913.3	79463	80864	0|58|3-isopropylmalate_dehydratase_large_subunit	leuC	0	-
NC_000913.3	80866	81958	0|59|3-isopropylmalate_dehydrogenase	leuB	0	-
NC_000913.3	81957	83529	0|60|2-isopropylmalate_synthase	leuA	0	-
NC_000913.3	84367	85312	0|61|HTH-type_transcriptional_regulator_LeuO	leuO	0	+
NC_000913.3	85629	87354	0|62|Acetolactate_synthase_isozyme_3_large_subunit	ilvI	0	+
NC_000913.3	87356	87848	0|63|Acetolactate_synthase_isozyme_3_small_subunit	ilvH	0	+
NC_000913.3	88027	89032	0|64|Catabolite_repressor/activator	cra	0	+
NC_000913.3	89633	90092	0|65|Transcriptional_regulator_MraZ	mraZ	0	+
NC_000913.3	90093	91035	0|66|Ribosomal_RNA_small_subunit_methyltransferase_H	rsmH	0	+
NC_000913.3	91031	91397	0|67|Cell_division_protein_FtsL	ftsL	0	+
NC_000913.3	91412	93179	0|68|Peptidoglycan_D,D-transpeptidase_FtsI	ftsI	0	+
NC_000913.3	93165	94653	0|69|UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,_6-diaminopimelate_ligase	murE	0	+
NC_000913.3	94649	96008	0|70|UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-_alanine_ligase	murF	0	+
